,Name,Year,Fuel,KMS,Engine,Owners,Transmission,Mileage,Seats,Price,Company
13953,BMW 3,2016,Diesel,69000,1995,1,Automatic,22.69,5,2100000,BMW
13954,Toyota Etios,2012,Diesel,58360,1364,1,Manual,23.59,5,280000,Toyota
13955,Maruti Ciaz,2016,Diesel,52000,1248,1,Manual,28.09,5,615000,Maruti
13956,Hyundai i10,2013,Petrol,44000,1086,1,Manual,19.81,5,230000,Hyundai
13957,Toyota Etios,2012,Petrol,55000,1496,1,Manual,18.3,5,295000,Toyota
13958,Volvo V40,2015,Diesel,44000,1984,1,Automatic,16.8,5,1499000,Volvo
13959,Maruti Wagon,2012,Petrol,69000,998,1,Manual,21.79,5,300000,Maruti
13960,Toyota Innova,2017,Diesel,63000,2393,1,Manual,13.68,7,1650000,Toyota
13961,Maruti Swift,2017,Diesel,60000,1248,1,Automatic,28.4,5,600000,Maruti
13963,BMW X1,2017,Diesel,22000,1995,1,Automatic,20.68,5,2500000,BMW
13964,Hyundai i20,2016,Petrol,51334,1197,1,Manual,18.6,5,550000,Hyundai
13965,Hyundai i10,2012,Petrol,50000,1197,1,Manual,20.36,5,240000,Hyundai
13966,Maruti Wagon,2016,Petrol,46613,998,1,Manual,20.51,5,345000,Maruti
13967,DC Avanti,2008,Petrol,12000,2000,1,Manual,10.0,2,400000,DC
13968,Mercedes-Benz GL-Class,2016,Diesel,40000,2143,1,Automatic,17.9,5,3350000,Mercedes-Benz
13969,Hyundai Grand,2017,Diesel,21000,1186,1,Manual,24.0,5,455000,Hyundai
13970,Maruti Baleno,2018,Petrol,19000,1197,1,Manual,21.01,5,585000,Maruti
13971,Hyundai Grand,2015,Petrol,41000,1197,1,Automatic,18.9,5,540000,Hyundai
13972,Toyota Etios,2015,Diesel,51500,1364,1,Manual,23.59,5,445000,Toyota
