,Name,Year,Fuel,KMS,Engine,Owners,Transmission,Mileage,Seats,Price,Company
21065,Maruti Swift,2014,1,65664,1197,2,1,19.1,5,385000,Maruti
21066,Maruti Ciaz,2014,2,78178,1248,1,1,26.21,5,407000,Maruti
21067,Maruti Swift,2019,1,19983,1197,1,1,22.0,5,647000,Maruti
21068,Hyundai Creta,2018,1,36735,1591,1,2,13.0,5,1236000,Hyundai
21069,Hyundai Creta,2016,2,52756,1582,1,1,19.67,5,878000,Hyundai
21070,Maruti Swift,2020,1,12918,1197,1,2,21.21,5,707000,Maruti
21071,Maruti S-Presso,2021,1,3725,998,1,1,21.7,5,450000,Maruti
21072,Maruti Vitara,2017,2,82529,1248,1,1,24.3,5,632000,Maruti
21073,Maruti Swift,2015,2,83944,1248,2,1,26.59,5,396000,Maruti
21074,Volkswagen Polo,2014,1,64415,1198,2,1,16.47,5,349000,Volkswagen
21075,Maruti Ciaz,2017,1,36640,1373,1,1,20.73,5,707000,Maruti
21076,Maruti Baleno,2018,1,14730,1197,1,1,21.4,5,629000,Maruti
21077,Maruti Ertiga,2020,1,28032,1462,1,1,19.34,7,996000,Maruti
21078,Maruti Ciaz,2016,1,64469,1373,1,1,20.73,5,624000,Maruti
21079,Nissan Kicks,2021,1,8901,1498,1,1,14.23,5,1022000,Nissan
21080,Hyundai EON,2018,1,35610,814,1,1,21.1,5,314000,Hyundai
21081,Maruti Ignis,2019,1,39945,1197,1,2,20.89,5,436000,Maruti
21082,Maruti Alto,2019,1,43060,998,1,1,23.95,5,380000,Maruti
21083,Maruti Celerio,2016,1,44996,998,1,2,23.1,5,445000,Maruti
21084,MG Hector,2021,1,6424,1451,1,2,13.96,5,1869000,MG
21085,Honda City,2011,1,107185,1497,1,2,16.8,5,380000,Honda
21086,Maruti Baleno,2021,1,6848,1197,1,1,21.4,5,713000,Maruti
21087,Maruti Vitara,2018,2,37901,1248,1,1,24.3,5,793000,Maruti
21088,Maruti Baleno,2018,2,83104,1248,1,2,27.39,5,513000,Maruti
21089,Tata Tigor,2020,1,3058,1199,1,2,20.3,5,724000,Tata
21090,Honda Amaze,2013,1,84655,1198,1,1,18.0,5,309000,Honda
21091,Honda City,2019,1,18941,1497,1,2,18.0,5,1265000,Honda
21092,Jeep Compass,2018,1,19427,1368,1,1,16.0,5,1344000,Jeep
21093,Maruti XL6,2020,1,22683,1462,1,2,17.99,6,1018000,Maruti
21094,Honda Brio,2014,1,78058,1198,1,1,19.4,5,295000,Honda
21095,Datsun RediGO,2021,1,5198,799,1,1,20.71,5,340000,Datsun
21096,Maruti Swift,2015,2,53515,1248,2,1,25.2,5,368000,Maruti
21097,Maruti Swift,2015,2,88462,1248,1,1,26.59,5,445000,Maruti
21098,Maruti Swift,2016,2,78328,1248,1,2,26.59,5,499000,Maruti
21099,Maruti S-Presso,2021,3,6706,998,1,1,31.2,4,576000,Maruti
21100,Honda Brio,2014,1,28205,1198,1,1,19.4,5,361000,Honda
21101,Maruti Ertiga,2014,2,72395,1248,1,1,20.77,7,490000,Maruti
21102,Maruti Swift,2012,1,107210,1197,1,1,19.1,5,330000,Maruti
21103,Hyundai Grand,2019,1,10553,1197,1,2,20.7,5,693000,Hyundai
21104,Renault KWID,2020,1,11425,799,1,1,22.25,5,404000,Renault
21105,Toyota Glanza,2021,1,11565,1197,1,2,19.56,5,880000,Toyota
21106,Hyundai Venue,2019,1,18885,998,1,1,18.27,5,900000,Hyundai
21107,Maruti Baleno,2016,1,53333,1197,1,1,21.4,5,555000,Maruti
21108,Maruti Alto,2019,1,42652,796,1,1,24.7,5,337000,Maruti
21109,Maruti Alto,2015,1,84709,998,1,1,23.95,5,264000,Maruti
21110,Maruti Alto,2016,1,4166,796,1,1,24.7,5,293000,Maruti
21111,Maruti Alto,2018,1,14672,998,1,1,23.95,5,348000,Maruti
21112,Ford Ecosport,2020,1,10823,1497,1,1,17.0,5,775000,Ford
21113,Maruti Alto,2013,1,50900,998,1,1,20.92,5,224000,Maruti
21114,Hyundai Grand,2016,1,40110,1197,1,1,18.9,5,406000,Hyundai
21115,Maruti Swift,2014,1,35693,1197,1,1,20.85,5,430000,Maruti
21116,Maruti Swift,2019,1,59296,1197,1,1,21.21,5,485000,Maruti
21117,Toyota Corolla,2018,1,63366,1798,1,2,14.28,5,1567000,Toyota
21118,Hyundai Creta,2018,2,68417,1396,1,1,22.1,5,883000,Hyundai
21119,Honda WR-V,2019,1,15511,1199,1,1,17.5,5,817000,Honda
21120,Maruti Alto,2017,1,44479,796,1,1,22.05,5,268000,Maruti
21121,Maruti Baleno,2016,1,102221,1197,1,1,21.01,5,485000,Maruti
21122,Hyundai Santro,2019,1,2007,1086,1,1,20.3,5,490000,Hyundai
21123,Maruti Swift,2014,1,57262,1197,1,1,20.85,5,425000,Maruti
21124,Volkswagen Ameo,2019,1,62003,999,2,1,19.44,5,480000,Volkswagen
21125,Hyundai Grand,2017,1,62428,1197,1,1,18.9,5,425000,Hyundai
21126,Maruti Alto,2016,1,30615,998,2,1,23.95,5,298000,Maruti
21127,Maruti Wagon,2014,1,48706,998,1,1,21.79,5,315000,Maruti
21128,Ford Ecosport,2017,1,49342,1497,1,1,17.0,5,636000,Ford
21129,Maruti Baleno,2015,1,29926,1197,1,1,21.4,5,436000,Maruti
21130,Hyundai Verna,2018,1,23067,1368,1,1,19.1,5,788000,Hyundai
21131,Toyota Glanza,2020,1,12903,1197,1,1,21.01,5,706000,Toyota
21132,Maruti Swift,2015,2,101013,1248,1,1,25.2,5,383000,Maruti
21133,Maruti Alto,2017,1,44569,796,2,1,24.7,5,245000,Maruti
21134,Hyundai Grand,2015,1,81698,1197,1,1,18.9,5,395000,Hyundai
21135,Maruti Alto,2011,1,56163,998,1,1,20.92,5,205000,Maruti
21136,Maruti Baleno,2020,1,11276,1197,1,1,21.4,5,638000,Maruti
21137,Maruti Swift,2017,1,49489,1197,1,1,20.4,5,436000,Maruti
21138,Hyundai i10,2011,1,102402,1197,1,1,20.36,5,220000,Hyundai
21139,Maruti Ignis,2017,1,23694,1197,1,1,20.89,5,412000,Maruti
21140,Hyundai i20,2015,2,60611,1396,1,1,22.54,5,499000,Hyundai
21141,Maruti S-Presso,2020,1,2997,998,1,1,21.7,5,430000,Maruti
21142,Honda Amaze,2019,1,49658,1199,1,1,18.6,5,593000,Honda
21143,Renault KWID,2019,1,8999,799,2,1,25.17,5,335000,Renault
21144,Ford Ecosport,2017,2,59648,1498,1,1,21.7,5,557000,Ford
21145,Maruti Ciaz,2020,1,12618,1462,1,1,20.65,5,820000,Maruti
21146,Maruti Ciaz,2021,1,4586,1462,1,1,20.65,5,902000,Maruti
21147,Honda WR-V,2017,1,63934,1199,1,1,17.5,5,556000,Honda
21148,Maruti Alto,2017,1,18295,998,2,1,23.95,5,297000,Maruti
21149,Maruti Celerio,2016,3,83670,998,1,1,31.79,5,397000,Maruti
21150,Maruti Swift,2013,2,67705,1248,1,1,23.4,5,385000,Maruti
21151,Maruti Swift,2013,1,50124,1197,2,1,22.0,5,370000,Maruti
21152,Maruti Ciaz,2017,2,89706,1248,1,1,28.09,5,532000,Maruti
21153,Hyundai Grand,2014,1,83557,1197,1,2,18.9,5,380000,Hyundai
21154,Maruti Swift,2016,2,106709,1248,1,1,25.2,5,370000,Maruti
21155,Hyundai Venue,2019,1,22168,998,1,2,18.15,5,1005000,Hyundai
21156,Hyundai Santro,2018,1,1144,1086,1,1,20.3,5,484000,Hyundai
21157,Honda Jazz,2018,1,21565,1199,1,2,17.1,5,700000,Honda
21158,Hyundai i20,2017,1,15889,1197,1,1,18.6,5,520000,Hyundai
21159,Maruti Alto,2015,1,75360,796,2,1,22.74,5,235000,Maruti
21160,Maruti Alto,2015,1,51318,998,1,1,23.95,5,265000,Maruti
21161,Hyundai i20,2017,2,60340,1396,1,1,22.54,5,528000,Hyundai
21162,Honda City,2013,1,85744,1497,1,1,16.8,5,524000,Honda
21163,Tata Tiago,2021,1,8982,1199,1,1,23.84,5,541000,Tata
21164,Maruti Alto,2013,1,74915,796,1,1,22.74,5,195000,Maruti
21165,Maruti Swift,2018,2,37504,1248,1,1,28.4,5,580000,Maruti
21166,Maruti Alto,2018,1,15494,998,1,1,23.95,5,320000,Maruti
21167,Maruti Alto,2017,1,71534,796,1,1,24.7,5,215000,Maruti
21168,Maruti Celerio,2016,1,37203,998,1,1,23.1,5,389000,Maruti
21169,Renault KWID,2019,1,21478,999,1,1,23.01,5,387000,Renault
21170,Honda City,2015,1,33072,1497,1,1,17.4,5,598000,Honda
21171,Honda City,2017,1,20230,1497,1,1,17.4,5,847000,Honda
21172,Maruti Ciaz,2019,1,25656,1462,1,2,20.04,5,1030000,Maruti
21173,Honda Jazz,2017,1,19729,1199,1,1,18.7,5,515000,Honda
21174,Hyundai Santro,2018,1,10671,1086,1,1,20.3,5,481000,Hyundai
21175,Maruti Baleno,2020,1,7169,1197,1,1,21.01,5,692000,Maruti
21176,Honda Brio,2014,1,38186,1198,1,1,19.4,5,323000,Honda
21177,Ford Ecosport,2014,2,68931,1498,1,1,22.7,5,435000,Ford
21178,Renault Duster,2013,2,69874,1461,2,1,19.87,5,325000,Renault
21179,Maruti Ritz,2010,1,68932,1197,2,1,18.5,5,195000,Maruti
21180,Hyundai I20,2014,1,49853,1197,2,1,18.5,5,349000,Hyundai
21181,Honda City,2007,1,88000,1497,1,1,17.7,5,95000,Honda
21182,Maruti Swift,2015,2,45000,1248,1,1,28.4,5,315000,Maruti
21183,Hyundai Verna,2012,2,96000,1582,1,1,22.32,5,315000,Hyundai
21184,Hyundai Sonata,2014,1,95000,2359,3,2,12.37,5,551000,Hyundai
21185,Hyundai Verna,2015,2,83000,1582,1,1,22.32,5,455000,Hyundai
21186,Mahindra Scorpio,2013,2,83000,2179,2,1,12.05,8,435000,Mahindra
21187,Maruti Swift,2013,2,83000,1248,2,1,28.4,5,335000,Maruti
21188,Maruti Vitara,2016,2,68000,1248,1,1,24.3,5,675000,Maruti
21189,Mahindra Bolero,2017,2,64500,2523,1,1,13.6,7,675000,Mahindra
21190,Hyundai I10,2010,1,62000,1086,2,1,19.81,5,175000,Hyundai
21191,Hyundai I20,2013,1,46000,1197,1,1,18.5,5,305000,Hyundai
21192,Toyota Fortuner,2013,1,151000,2694,1,2,10.0,7,1275000,Toyota
21193,Toyota Fortuner,2013,2,85000,2982,1,1,13.0,7,1175000,Toyota
21194,Maruti Swift,2015,1,40000,1197,1,1,20.4,5,385000,Maruti
21195,Honda Accord,2009,1,67000,2354,1,2,10.2,5,295000,Honda
21196,Kia Seltos,2020,1,32000,1353,1,2,16.5,5,1875000,Kia
21198,Toyota Fortuner,2013,2,88000,2982,1,1,13.0,7,1200000,Toyota
21199,Mercedes-Benz New,2013,2,97408,2143,2,2,14.84,5,929000,Mercedes-Benz
21200,Maruti Alto,2012,1,47788,998,1,1,20.92,5,196000,Maruti
21201,Hyundai I10,2011,1,91333,1197,2,1,20.36,5,154000,Hyundai
21202,Honda Brio,2015,1,8120,1198,1,1,19.4,5,377000,Honda
21203,Mahindra Xuv500,2014,2,104149,2179,2,1,15.1,7,551000,Mahindra
21204,Hyundai Xcent,2015,2,64584,1120,2,1,24.4,5,337000,Hyundai
21205,Renault Kwid,2016,1,54871,799,1,1,25.17,5,227000,Renault
21206,Maruti Alto,2013,1,58827,998,1,1,20.92,5,206000,Maruti
21208,Toyota Camry,2017,1,32000,2494,1,2,19.16,5,2500000,Toyota
21209,Kia Seltos,2020,1,20000,1353,1,2,16.5,5,1875000,Kia
21210,Mg Hector,2020,2,10002,1956,1,1,17.41,5,1725000,Mg
21211,Mahindra Xuv500,2016,2,49000,2179,1,2,16.0,7,849000,Mahindra
21212,Maruti Eeco,2018,3,90000,1196,1,1,21.94,5,400000,Maruti
21213,Kia Seltos,2019,1,9509,1353,1,2,16.5,5,1825000,Kia
21214,Hyundai Venue,2019,1,15002,998,1,2,18.15,5,1050000,Hyundai
21216,Honda Amaze,2016,2,60003,1498,1,1,24.7,5,425000,Honda
21217,Volkswagen Taigun,2021,1,8000,1498,1,2,17.88,5,1900000,Volkswagen
21219,Ford Endeavour,2016,2,99000,3198,2,2,10.91,7,2390000,Ford
21220,Toyota Fortuner,2017,2,89000,2755,1,2,15.04,7,2850000,Toyota
21221,Toyota Fortuner,2015,2,122000,2982,2,2,12.55,7,1625000,Toyota
21222,Mahindra Thar,2015,2,38000,2498,2,1,16.55,7,690000,Mahindra
21223,BMW 5,2017,2,60000,1995,2,2,18.12,5,2890000,BMW
21226,Mercedes-Benz Cla,2017,2,50000,2143,2,2,17.9,5,2390000,Mercedes-Benz
21228,Kia Seltos,2020,1,13002,1497,1,1,16.8,5,1075000,Kia
21232,Mercedes-Benz E-class,2016,1,35000,1991,1,2,12.0,5,2800000,Mercedes-Benz
21233,Kia Sonet,2021,1,6900,998,1,1,18.2,5,1125000,Kia
21236,Mercedes-Benz New,2011,2,65000,2143,1,2,15.8,5,975000,Mercedes-Benz
21237,BMW X3,2017,2,65000,1995,2,2,18.56,5,2990000,BMW
21238,Land Rover,2013,2,80000,2179,1,2,12.7,5,2090000,Land
21242,Land Rover,2014,2,62000,2179,2,2,12.39,5,1890000,Land
21243,Audi A3,2020,2,32000,1968,1,2,20.38,5,2890000,Audi
21244,BMW 6,2012,2,50000,2993,2,2,9.52,4,2890000,BMW
21245,Hyundai I20,2012,2,73000,1493,1,1,25.0,5,325000,Hyundai
21246,Ford Endeavour,2017,2,90002,3198,1,2,10.91,7,2300000,Ford
21247,Honda City,2018,2,58002,1498,1,1,25.6,5,835000,Honda
21248,Mercedes-Benz Gl-class,2014,2,42001,2987,2,2,11.3,7,2780000,Mercedes-Benz
21249,Hyundai Santro,2010,1,50765,1086,2,1,17.92,5,180000,Hyundai
21250,Nissan Terrano,2014,2,70500,1461,2,1,20.45,5,475000,Nissan
21251,Maruti Swift,2013,1,73150,1197,1,1,21.21,5,350000,Maruti
21252,Maruti Vitara,2017,2,39350,1248,1,1,24.3,5,795000,Maruti
21253,Maruti Swift,2013,2,53000,1248,2,1,23.4,5,325000,Maruti
21254,Mahindra Tuv,2016,2,74000,1493,2,1,18.49,7,450000,Mahindra
21255,Skoda Octavia,2015,1,63563,1798,1,2,14.7,5,995000,Skoda
21256,Mahindra Xuv500,2014,2,60200,2179,3,1,15.1,7,475000,Mahindra
21257,Toyota Innova,2018,2,66000,2393,1,2,13.68,7,1550000,Toyota
21258,Mahindra Xuv500,2012,2,16800,2179,1,1,16.0,7,595000,Mahindra
21260,Skoda Superb,2009,1,99266,1798,1,2,13.7,5,350000,Skoda
21261,Hyundai Santro,2007,1,88000,1086,2,1,17.8,5,95000,Hyundai
21262,Toyota Corolla,2008,1,141966,1794,2,2,11.3,5,195000,Toyota
21263,Hyundai Creta,2015,2,90000,1582,1,2,17.6,5,850000,Hyundai
21264,Honda City,2014,2,65000,1498,1,1,26.0,5,485000,Honda
21265,Honda City,2009,1,43300,1497,1,1,17.0,5,295000,Honda
21266,Honda Brio,2013,1,22000,1198,1,1,19.4,5,285000,Honda
21267,Kia Seltos,2020,2,28000,1493,1,2,17.8,5,1625000,Kia
21268,Honda City,2016,1,65000,1497,2,1,17.8,5,645000,Honda
21269,Honda Amaze,2016,1,33000,1198,1,1,17.8,5,435000,Honda
21270,Ford Ecosport,2017,2,96800,1498,1,1,21.7,5,595000,Ford
21271,Audi A6,2012,2,64500,1968,2,2,17.68,5,1075000,Audi
21272,Mercedes-Benz New,2016,2,55000,2143,1,2,19.71,5,2300000,Mercedes-Benz
